album_name,track_number,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode
reputation,7.0,So It Goes...,0.574,0.61,2.0,-7.283,1.0,0.0732,0.122,1.1e-06,0.13,0.374,74.957,4.0,227907.0,False,D,major,D major
reputation,8.0,Gorgeous,0.8,0.535,7.0,-6.684,1.0,0.135,0.0713,9.48e-06,0.213,0.451,92.027,4.0,209680.0,False,G,major,G major
reputation,9.0,Getaway Car,0.562,0.689,2.0,-6.745,1.0,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,4.0,233627.0,False,D,major,D major
reputation,10.0,King Of My Heart,0.675,0.703,0.0,-7.902,1.0,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,4.0,214320.0,False,C,major,C major
reputation,11.0,Dancing With Our Hands Tied,0.624,0.691,0.0,-6.686,0.0,0.196,0.0604,1.1e-05,0.138,0.284,160.024,4.0,211507.0,False,C,minor,C minor
reputation,12.0,Dress,0.719,0.469,0.0,-8.792,1.0,0.0533,0.0329,0.0,0.169,0.0851,120.085,4.0,230373.0,False,C,major,C major
reputation,13.0,This Is Why We Can't Have Nice Things,0.567,0.789,5.0,-5.986,1.0,0.115,0.0156,0.0,0.382,0.438,163.96,4.0,207133.0,False,F,major,F major
reputation,14.0,Call It What You Want,0.598,0.504,9.0,-9.874,1.0,0.0731,0.186,0.000221,0.34,0.252,163.954,4.0,203507.0,False,A,major,A major
Lover,1.0,I Forgot That You Existed,0.664,0.316,5.0,-10.345,1.0,0.519,0.298,2.03e-06,0.0812,0.541,92.875,4.0,170640.0,False,F,major,F major
Lover,2.0,Cruel Summer,0.552,0.702,9.0,-5.707,1.0,0.157,0.117,2.06e-05,0.105,0.564,169.994,4.0,178427.0,False,A,major,A major
Lover,3.0,Lover,0.359,0.543,7.0,-7.582,1.0,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4.0,221307.0,False,G,major,G major
Lover,4.0,The Man,0.777,0.658,0.0,-5.191,1.0,0.054,0.0767,0.0,0.0901,0.633,110.048,4.0,190360.0,False,C,major,C major
Lover,5.0,The Archer,0.292,0.574,0.0,-9.375,1.0,0.0401,0.12,0.00569,0.0663,0.166,124.344,4.0,211240.0,False,C,major,C major
Lover,6.0,I Think He Knows,0.897,0.366,0.0,-8.029,1.0,0.0569,0.00889,0.000353,0.0715,0.416,100.003,4.0,173387.0,False,C,major,C major
Lover,7.0,Miss Americana & The Heartbreak Prince,0.662,0.747,11.0,-6.926,0.0,0.0736,0.028,0.00615,0.138,0.487,150.088,4.0,234147.0,False,B,minor,B minor
Lover,8.0,Paper Rings,0.811,0.719,9.0,-6.553,1.0,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,4.0,222400.0,False,A,major,A major
Lover,9.0,Cornelia Street,0.824,0.624,0.0,-9.728,1.0,0.0827,0.781,0.000189,0.1,0.248,102.012,4.0,287267.0,False,C,major,C major
Lover,10.0,Death By A Thousand Cuts,0.712,0.732,4.0,-6.754,1.0,0.0629,0.454,0.0,0.319,0.313,94.071,4.0,198533.0,False,E,major,E major
Lover,11.0,London Boy,0.695,0.71,1.0,-6.639,1.0,0.05,0.0246,0.000104,0.133,0.557,157.925,4.0,190240.0,False,C#,major,C# major
Lover,12.0,Soon You'll Get Better,0.433,0.182,0.0,-12.566,1.0,0.0641,0.907,0.0,0.123,0.421,207.476,4.0,201587.0,False,C,major,C major
